Insert into UfAffiliate values(95947099, 'SDorgan9899@ufl.edu', '408-866-5778', 'N', 'F', '0', 'SonDorgan');
Insert into UfAffiliate values(53859992, 'PGreenlun318@ufl.edu', '117-385-1840', 'N', 'F', '1', 'PeteGreenlun');
Insert into UfAffiliate values(29822697, 'MDaudt2346@ufl.edu', '928-806-1272', 'N', 'F', '2', 'MaryettaDaudt');
Insert into UfAffiliate values(80548712, 'MAresco3396@ufl.edu', '569-155-3654', 'N', 'F', '3', 'MeganAresco');
Insert into UfAffiliate values(13691258, 'ABowyer8705@ufl.edu', '971-978-1728', 'N', 'F', '4', 'AugustBowyer');
Insert into UfAffiliate values(50848935, 'HKeaten7186@ufl.edu', '175-163-5715', 'N', 'F', '5', 'HillaryKeaten');
Insert into UfAffiliate values(60261698, 'YHandy7502@ufl.edu', '480-474-9389', 'N', 'F', '6', 'YongHandy');
Insert into UfAffiliate values(44655895, 'YTavana4373@ufl.edu', '802-791-7402', 'N', 'P', '7', 'YerTavana');
Insert into UfAffiliate values(75536442, 'LHawthorn3599@ufl.edu', '199-610-3147', 'N', 'P', '8', 'LatoyaHawthorn');
Insert into UfAffiliate values(49476493, 'SMacfarland2939@ufl.edu', '200-192-8783', 'N', 'P', '9', 'ShantelleMacfarland');
Insert into UfAffiliate values(63167938, 'MKlass4467@ufl.edu', '993-645-7950', 'N', 'F', '10', 'MeganKlass');
Insert into UfAffiliate values(24097710, 'MRials8909@ufl.edu', '596-357-1113', 'N', 'F', '11', 'MirandaRials');
Insert into UfAffiliate values(14227583, 'GCulberson4951@ufl.edu', '210-122-5984', 'N', 'F', '12', 'GarthCulberson');
Insert into UfAffiliate values(28386332, 'JFredricksen8731@ufl.edu', '537-371-1924', 'Y', 'P', '13', 'JeraldFredricksen');
Insert into UfAffiliate values(36260006, 'RBruse9289@ufl.edu', '161-574-6329', 'Y', 'E', '14', 'RivkaBruse');
Insert into UfAffiliate values(65143153, 'LSchuchard6892@ufl.edu', '915-357-3603', 'N', 'F', '15', 'LongSchuchard');
Insert into UfAffiliate values(84556319, 'CBlaustein4620@ufl.edu', '608-498-1804', 'N', 'P', '16', 'ClintonBlaustein');
Insert into UfAffiliate values(45988799, 'CCuez9622@ufl.edu', '413-369-9636', 'N', 'F', '17', 'ChungCuez');
Insert into UfAffiliate values(68839796, 'AShoen8530@ufl.edu', '545-949-8278', 'N', 'F', '18', 'AlonaShoen');
Insert into UfAffiliate values(82626703, 'AHoschander9843@ufl.edu', '337-924-4096', 'N', 'F', '19', 'AntonyHoschander');
Insert into UfAffiliate values(62929126, 'RMafnas4101@ufl.edu', '880-127-9774', 'N', 'F', '20', 'RoyMafnas');
Insert into UfAffiliate values(20902077, 'ASeibel3643@ufl.edu', '776-167-7739', 'Y', 'P', '21', 'ArlettaSeibel');
Insert into UfAffiliate values(63309480, 'EPellum994@ufl.edu', '745-178-4367', 'N', 'F', '22', 'ElijahPellum');
Insert into UfAffiliate values(93767599, 'SMccaddon7218@ufl.edu', '390-327-6485', 'N', 'F', '23', 'SantiagoMccaddon');
Insert into UfAffiliate values(61507218, 'OFreguson1133@ufl.edu', '974-213-8457', 'N', 'F', '24', 'OnieFreguson');
Insert into UfAffiliate values(18800826, 'MWelding339@ufl.edu', '122-998-2490', 'Y', 'E', '25', 'MerlynWelding');
Insert into UfAffiliate values(39525973, 'LEmmert8595@ufl.edu', '355-552-3398', 'N', 'F', '26', 'LuciusEmmert');
Insert into UfAffiliate values(54030181, 'CGunlock434@ufl.edu', '972-589-1229', 'N', 'F', '27', 'CecilGunlock');
Insert into UfAffiliate values(17843798, 'FLefrancois8049@ufl.edu', '843-184-3020', 'N', 'F', '28', 'FedericoLefrancois');
Insert into UfAffiliate values(61998717, 'DLieblong6957@ufl.edu', '895-640-3611', 'N', 'F', '29', 'DrewLieblong');
Insert into UfAffiliate values(13801753, 'WZeck8555@ufl.edu', '627-773-5796', 'N', 'F', '30', 'WeldonZeck');
Insert into UfAffiliate values(78304767, 'WDaguerre9775@ufl.edu', '182-293-7494', 'N', 'F', '31', 'WardDaguerre');
Insert into UfAffiliate values(12042903, 'EGuilfoil5859@ufl.edu', '271-735-9184', 'N', 'F', '32', 'EvelynnGuilfoil');
Insert into UfAffiliate values(19867335, 'WSchillings3401@ufl.edu', '913-148-4269', 'N', 'F', '33', 'WilberSchillings');
Insert into UfAffiliate values(34512273, 'CDevary6655@ufl.edu', '314-270-3807', 'N', 'F', '34', 'ClementeDevary');
